<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RUR,D,20111101,0000,30.779,0
RUR,D,20111102,0000,30.645,0
RUR,D,20111103,0000,30.544,0
RUR,D,20111104,0000,30.475,0
RUR,D,20111105,0000,30.517,0
RUR,D,20111106,0000,30.502,0
RUR,D,20111107,0000,30.4863,0
RUR,D,20111108,0000,30.2089,0
RUR,D,20111109,0000,30.6196,0
RUR,D,20111110,0000,30.5585,0
RUR,D,20111111,0000,30.3685,0
RUR,D,20111112,0000,30.357,0
RUR,D,20111113,0000,30.327,0
RUR,D,20111114,0000,30.5679,0
RUR,D,20111115,0000,30.6012,0
RUR,D,20111116,0000,30.695,0
RUR,D,20111117,0000,30.8596,0
RUR,D,20111118,0000,30.8586,0
RUR,D,20111119,0000,30.859,0
RUR,D,20111120,0000,30.85,0
RUR,D,20111121,0000,31.1575,0
RUR,D,20111122,0000,31.0475,0
RUR,D,20111123,0000,31.5005,0
RUR,D,20111124,0000,31.4675,0
RUR,D,20111125,0000,31.5112,0
RUR,D,20111126,0000,31.48,0
RUR,D,20111127,0000,31.501,0
RUR,D,20111128,0000,31.3675,0
RUR,D,20111129,0000,31.2377,0
RUR,D,20111130,0000,30.7,0
RUR,D,20111201,0000,30.7562,0
RUR,D,20111202,0000,30.9495,0
RUR,D,20111203,0000,30.957,0
RUR,D,20111204,0000,30.957,0
RUR,D,20111205,0000,30.8645,0
RUR,D,20111206,0000,31.325,0
RUR,D,20111207,0000,31.2012,0
RUR,D,20111208,0000,31.3937,0
RUR,D,20111209,0000,31.4337,0
RUR,D,20111210,0000,31.449,0
RUR,D,20111211,0000,31.463,0
RUR,D,20111212,0000,31.6145,0
RUR,D,20111213,0000,31.7642,0
RUR,D,20111214,0000,31.8864,0
RUR,D,20111215,0000,31.8395,0
RUR,D,20111216,0000,31.9275,0
RUR,D,20111217,0000,31.95,0
RUR,D,20111218,0000,32.008,0
RUR,D,20111219,0000,32.0824,0
RUR,D,20111220,0000,31.9655,0
RUR,D,20111221,0000,31.722,0
RUR,D,20111222,0000,31.3355,0
RUR,D,20111223,0000,31.1625,0
RUR,D,20111224,0000,31.155,0
RUR,D,20111225,0000,31.155,0
RUR,D,20111226,0000,31.14,0
RUR,D,20111227,0000,31.3681,0
RUR,D,20111228,0000,31.7995,0
RUR,D,20111229,0000,32.121,0
RUR,D,20111230,0000,32.115,0
RUR,D,20111231,0000,32.115,0
RUR,D,20120101,0000,32.207,0
RUR,D,20120102,0000,32.185,0
RUR,D,20120103,0000,31.695,0
RUR,D,20120104,0000,31.814,0
RUR,D,20120105,0000,32.042,0
RUR,D,20120106,0000,32.094,0
RUR,D,20120107,0000,32.102,0
RUR,D,20120108,0000,31.97,0
RUR,D,20120109,0000,31.8858,0
RUR,D,20120110,0000,31.5468,0
RUR,D,20120111,0000,31.7149,0
RUR,D,20120112,0000,31.5445,0
RUR,D,20120113,0000,31.868,0
RUR,D,20120114,0000,31.85,0
RUR,D,20120115,0000,31.864,0
RUR,D,20120116,0000,31.6676,0
RUR,D,20120117,0000,31.6328,0
RUR,D,20120118,0000,31.4533,0
RUR,D,20120119,0000,31.2955,0
RUR,D,20120120,0000,31.327,0
RUR,D,20120121,0000,31.33,0
RUR,D,20120122,0000,31.349,0
RUR,D,20120123,0000,30.8932,0
RUR,D,20120124,0000,30.777,0
RUR,D,20120125,0000,30.5479,0
RUR,D,20120126,0000,30.2996,0
RUR,D,20120127,0000,30.123,0
RUR,D,20120128,0000,30.13,0
RUR,D,20120129,0000,30.13,0
RUR,D,20120130,0000,30.3945,0
RUR,D,20120131,0000,30.285,0
RUR,D,20120201,0000,30.171,0
RUR,D,20120202,0000,30.1895,0
RUR,D,20120203,0000,30.1332,0
RUR,D,20120204,0000,30.123,0
RUR,D,20120205,0000,30.132,0
RUR,D,20120206,0000,30.0613,0
RUR,D,20120207,0000,29.774,0
RUR,D,20120208,0000,29.7305,0
RUR,D,20120209,0000,29.692,0
RUR,D,20120210,0000,30.049,0
RUR,D,20120211,0000,30.078,0
RUR,D,20120212,0000,30.047,0
RUR,D,20120213,0000,29.9061,0
RUR,D,20120214,0000,30.074,0
RUR,D,20120215,0000,30.0377,0
RUR,D,20120216,0000,30.0354,0
RUR,D,20120217,0000,29.926,0
RUR,D,20120218,0000,29.917,0
RUR,D,20120219,0000,29.917,0
RUR,D,20120220,0000,29.7765,0
RUR,D,20120221,0000,29.7527,0
RUR,D,20120222,0000,29.696,0
RUR,D,20120223,0000,29.623,0
RUR,D,20120224,0000,29.162,0
RUR,D,20120225,0000,29.215,0
RUR,D,20120226,0000,29.156,0
RUR,D,20120227,0000,29.034,0
RUR,D,20120228,0000,28.9715,0
RUR,D,20120229,0000,29.077,0
RUR,D,20120301,0000,29.2104,0
RUR,D,20120302,0000,29.323,0
RUR,D,20120303,0000,29.337,0
RUR,D,20120304,0000,29.337,0
RUR,D,20120305,0000,29.3295,0
RUR,D,20120306,0000,29.566,0
RUR,D,20120307,0000,29.641,0
RUR,D,20120308,0000,29.41,0
RUR,D,20120309,0000,29.418,0
RUR,D,20120310,0000,29.412,0
RUR,D,20120311,0000,29.412,0
RUR,D,20120312,0000,29.602,0
RUR,D,20120313,0000,29.4631,0
RUR,D,20120314,0000,29.5384,0
RUR,D,20120315,0000,29.3443,0
RUR,D,20120316,0000,29.248,0
RUR,D,20120317,0000,29.202,0
RUR,D,20120318,0000,29.233,0
RUR,D,20120319,0000,29.1161,0
RUR,D,20120320,0000,29.2496,0
RUR,D,20120321,0000,29.253,0
RUR,D,20120322,0000,29.4259,0
RUR,D,20120323,0000,29.28,0
RUR,D,20120324,0000,29.297,0
RUR,D,20120325,0000,29.282,0
RUR,D,20120326,0000,28.9326,0
RUR,D,20120327,0000,29.0476,0
RUR,D,20120328,0000,29.3581,0
RUR,D,20120329,0000,29.4723,0
RUR,D,20120330,0000,29.319,0
RUR,D,20120331,0000,29.434,0
RUR,D,20120401,0000,29.434,0
RUR,D,20120402,0000,29.2756,0
RUR,D,20120403,0000,29.3012,0
RUR,D,20120404,0000,29.473,0
RUR,D,20120405,0000,29.4437,0
RUR,D,20120406,0000,29.5632,0
RUR,D,20120407,0000,29.577,0
RUR,D,20120408,0000,29.573,0
RUR,D,20120409,0000,29.5744,0
RUR,D,20120410,0000,29.8018,0
RUR,D,20120411,0000,29.6446,0
RUR,D,20120412,0000,29.4008,0
RUR,D,20120413,0000,29.605,0
RUR,D,20120414,0000,29.61,0
RUR,D,20120415,0000,29.577,0
RUR,D,20120416,0000,29.56,0
RUR,D,20120417,0000,29.4874,0
RUR,D,20120418,0000,29.52,0
RUR,D,20120419,0000,29.4875,0
RUR,D,20120420,0000,29.4575,0
RUR,D,20120421,0000,29.437,0
RUR,D,20120422,0000,29.437,0
RUR,D,20120423,0000,29.5175,0
RUR,D,20120424,0000,29.3483,0
RUR,D,20120425,0000,29.3108,0
RUR,D,20120426,0000,29.275,0
RUR,D,20120427,0000,29.3169,0
RUR,D,20120428,0000,29.309,0
RUR,D,20120429,0000,29.309,0
RUR,D,20120430,0000,29.384,0
RUR,D,20120501,0000,29.344,0
RUR,D,20120502,0000,29.4112,0
RUR,D,20120503,0000,29.5044,0
RUR,D,20120504,0000,29.734,0
RUR,D,20120505,0000,29.77,0
RUR,D,20120506,0000,29.77,0
RUR,D,20120507,0000,29.9787,0
RUR,D,20120508,0000,30.1225,0
RUR,D,20120509,0000,30.3487,0
RUR,D,20120510,0000,30.095,0
RUR,D,20120511,0000,30.1515,0
RUR,D,20120512,0000,30.152,0
RUR,D,20120513,0000,30.152,0
RUR,D,20120514,0000,30.4043,0
RUR,D,20120515,0000,30.6851,0
RUR,D,20120516,0000,31.008,0
RUR,D,20120517,0000,31.0633,0
RUR,D,20120518,0000,31.295,0
RUR,D,20120519,0000,31.214,0
RUR,D,20120520,0000,31.186,0
RUR,D,20120521,0000,31.0845,0
RUR,D,20120522,0000,31.2221,0
RUR,D,20120523,0000,31.55,0
RUR,D,20120524,0000,31.7904,0
RUR,D,20120525,0000,32.075,0
RUR,D,20120526,0000,32.099,0
RUR,D,20120527,0000,32.051,0
RUR,D,20120528,0000,32.0763,0
RUR,D,20120529,0000,32.2881,0
RUR,D,20120530,0000,32.819,0
RUR,D,20120531,0000,33.377,0
RUR,D,20120601,0000,33.6637,0
RUR,D,20120602,0000,33.689,0
RUR,D,20120603,0000,33.689,0
RUR,D,20120604,0000,33.425,0
RUR,D,20120605,0000,32.8425,0
RUR,D,20120606,0000,32.3242,0
RUR,D,20120607,0000,32.4325,0
RUR,D,20120608,0000,32.4337,0
RUR,D,20120609,0000,32.525,0
RUR,D,20120610,0000,32.525,0
RUR,D,20120611,0000,32.757,0
RUR,D,20120612,0000,32.986,0
RUR,D,20120613,0000,32.5697,0
RUR,D,20120614,0000,32.505,0
RUR,D,20120615,0000,32.37,0
RUR,D,20120616,0000,32.486,0
RUR,D,20120617,0000,32.38,0
RUR,D,20120618,0000,32.385,0
RUR,D,20120619,0000,32.351,0
RUR,D,20120620,0000,32.58,0
RUR,D,20120621,0000,33.177,0
RUR,D,20120622,0000,33.15,0
RUR,D,20120623,0000,33.21,0
RUR,D,20120624,0000,33.208,0
RUR,D,20120625,0000,33.155,0
RUR,D,20120626,0000,32.847,0
RUR,D,20120627,0000,32.9675,0
RUR,D,20120628,0000,33.15,0
RUR,D,20120629,0000,32.3737,0
